,df1,df2,df3,df4,df5,df6,df7
2105,0.788,-0.015,-0.0709999999999999,0.069,0.788,0.788,-0.0709999999999999
2106,-0.071,-0.071,-0.149,-0.016,-0.071,0.1159999999999999,0.1089999999999999
2107,0.1,0.171,-0.0709999999999999,-0.0709999999999999,0.272,0.061,-0.0709999999999999
2108,-0.16,0.012,-0.0899999999999999,0.621,0.0,0.0,-0.0819999999999999
2109,0.361,0.138,-0.1019999999999999,0.0,0.0,0.039,0.14
2110,-0.171,0.617,0.617,0.617,0.617,0.617,-0.171
2111,-0.141,0.055,-0.0859999999999999,-0.0859999999999999,-0.1019999999999999,0.055,-0.0859999999999999
2112,-0.758,-0.758,-0.781,0.0,-0.758,-0.758,-0.781
2113,0.132,0.195,0.212,0.812,0.812,0.051,0.294
2114,0.118,0.118,0.1719999999999999,-0.132,0.118,0.118,0.1719999999999999
2115,0.0,0.0,-0.68,-0.379,-0.531,0.0,0.0
2116,0.703,-0.055,0.0469999999999999,0.124,-0.125,0.0,0.0469999999999999
2117,-0.094,-0.05,0.1019999999999999,-0.094,-0.05,-0.094,0.0469999999999999
2118,0.3429999999999999,0.484,-0.0949999999999999,-0.304,0.484,0.484,-0.031
2119,0.1949999999999999,0.359,0.281,0.1949999999999999,0.875,0.875,0.281
2120,-0.2189999999999999,-0.446,-0.266,-0.2189999999999999,0.0309999999999999,-0.032,-0.266
2121,-0.547,-0.547,-0.781,0.0,-0.547,-0.547,-0.781
2122,0.008,0.617,0.617,0.617,0.617,0.617,0.031
2123,0.641,-0.1169999999999999,-0.039,0.641,0.157,0.0819999999999999,0.0819999999999999
2124,0.484,0.484,-0.1159999999999999,-0.032,0.484,-0.008,-0.034
2125,-0.211,-0.187,-0.046,-0.172,-0.187,-0.187,-0.015
2126,0.656,0.656,0.172,-0.0939999999999999,0.172,0.0,0.172
2127,0.656,0.0969999999999999,0.015,0.0,0.0969999999999999,0.0969999999999999,-0.3279999999999999
